station,latitude,longitude,numDocks,timestamp,year,month,day,hour,weekday,weekhour,isHoliday,windMaxSpeed.m.s,windMeanSpeed.m.s,windDirection.grades,temperature.C,relHumidity.HR,airPressure.mb,precipitation.l.m2,bikes_3h_ago,full_profile_3h_diff_bikes,full_profile_bikes,short_profile_3h_diff_bikes,short_profile_bikes,bikes,Id
7,39.474715,-0.37932,20,1398895200.0,2014,5,1,0,Thursday,71,1,0.6,0.1,360.0,18.7,58.0,1003.0,0.0,2.0,5.254126609831309,5.25519825918762,4.44873699851412,4.47102526002972,10.0,198120
7,39.474715,-0.37932,20,1398898800.0,2014,5,1,1,Thursday,72,1,1.5,0.4,320.0,18.3,57.0,1003.0,0.0,4.0,5.2540507859734005,5.25518283469326,4.450222882615161,4.47251114413076,5.0,198121
7,39.474715,-0.37932,20,1398902400.0,2014,5,1,2,Thursday,73,1,3.7,1.7,317.0,17.8,57.0,1003.0,0.0,10.0,5.25433770630554,5.2553487247673205,4.4606240713224405,4.47994056463596,8.0,198122
7,39.474715,-0.37932,20,1398906000.0,2014,5,1,3,Thursday,74,1,5.0,2.5,322.0,17.4,56.0,1003.0,0.0,10.0,5.25462459194777,5.25563546262162,4.47102526002972,4.49182763744428,10.0,198123
7,39.474715,-0.37932,20,1398909600.0,2014,5,1,4,Thursday,75,1,5.5,3.1,323.0,17.5,56.0,1002.0,0.0,5.0,5.2546092002659694,5.25592216582064,4.47251114413076,4.503714710252599,10.0,198124
7,39.474715,-0.37932,20,1398913200.0,2014,5,1,5,Thursday,76,1,6.1,3.1,321.0,17.3,56.0,1002.0,0.0,8.0,5.2547751450677005,5.256087981146901,4.47994056463596,4.51263001485884,8.0,198125
7,39.474715,-0.37932,20,1398916800.0,2014,5,1,6,Thursday,77,1,5.2,3.1,322.0,17.1,55.0,1002.0,0.0,10.0,5.25506195225144,5.256314199395769,4.49182763744428,4.52303120356612,9.0,198126
7,39.474715,-0.37932,20,1398920400.0,2014,5,1,7,Thursday,78,1,6.2,3.4,319.0,17.0,55.0,1002.0,0.0,10.0,5.2553487247673205,5.25660080961875,4.503714710252599,4.53640416047548,10.0,198127
7,39.474715,-0.37932,20,1398924000.0,2014,5,1,8,Thursday,79,1,5.8,2.6,320.0,17.3,55.0,1003.0,0.0,8.0,5.2555145947906,5.25694780086999,4.51263001485884,4.55126300148588,11.0,198128
7,39.474715,-0.37932,20,1398927600.0,2014,5,1,9,Thursday,80,1,1.8,0.3,322.0,20.1,47.0,1004.0,0.0,9.0,5.25574087503021,5.2572343381864295,4.52303120356612,4.56612184249629,10.0,198129
7,39.474715,-0.37932,20,1398931200.0,2014,5,1,10,Thursday,81,1,1.0,0.3,156.0,23.3,37.0,1003.0,0.0,10.0,5.256027554535019,5.257641657605411,4.53640416047548,4.5794947994056505,12.0,198130
7,39.474715,-0.37932,20,1398934800.0,2014,5,1,11,Thursday,82,1,4.3,1.3,146.0,24.0,34.0,1003.0,0.0,11.0,5.2563746223565,5.25774690425853,4.55126300148588,4.585438335809809,7.0,198131
7,39.474715,-0.37932,20,1398938400.0,2014,5,1,12,Thursday,83,1,7.0,2.7,129.0,23.4,36.0,1003.0,0.0,10.0,5.2566612289287695,5.25797294032375,4.56612184249629,4.59286775631501,9.0,198132
7,39.474715,-0.37932,20,1398942000.0,2014,5,1,13,Thursday,84,1,7.3,2.5,147.0,23.5,39.0,1003.0,0.0,12.0,5.25706863218946,5.2581989490849805,4.5794947994056505,4.60029717682021,9.0,198133
7,39.474715,-0.37932,20,1398945600.0,2014,5,1,14,Thursday,85,1,9.0,4.6,130.0,23.0,41.0,1003.0,0.0,7.0,5.257173926176519,5.2583645367798,4.585438335809809,4.61069836552749,8.0,198134
7,39.474715,-0.37932,20,1398949200.0,2014,5,1,15,Thursday,86,1,12.7,8.1,135.0,22.1,43.0,1002.0,0.0,9.0,5.257400024163339,5.25859049459508,4.59286775631501,4.621099554234769,9.0,198135
7,39.474715,-0.37932,20,1398952800.0,2014,5,1,16,Thursday,87,1,13.7,8.9,135.0,21.5,46.0,1001.0,0.0,9.0,5.257626094835401,5.25863526570048,4.60029717682021,4.63001485884101,6.0,198136
7,39.474715,-0.37932,20,1398956400.0,2014,5,1,17,Thursday,88,1,9.9,4.7,138.0,22.2,45.0,1001.0,0.0,8.0,5.25779173713457,5.25868003139907,4.61069836552749,4.63595839524517,6.0,198137
7,39.474715,-0.37932,20,1398960000.0,2014,5,1,18,Thursday,89,1,7.8,1.9,117.0,22.4,48.0,1001.0,0.0,9.0,5.25801775684001,5.25872479169182,4.621099554234769,4.63893016344725,6.0,198138
7,39.474715,-0.37932,20,1398963600.0,2014,5,1,19,Thursday,90,1,8.9,3.1,69.0,20.7,54.0,1001.0,0.0,6.0,5.25806256794299,5.25858841997223,4.63001485884101,4.64041604754829,3.0,198139
7,39.474715,-0.37932,20,1398967200.0,2014,5,1,20,Thursday,91,1,10.6,4.7,44.0,19.8,59.0,1001.0,0.0,6.0,5.2581073736336705,5.25851243660951,4.63595839524517,4.64338781575037,4.0,198140
7,39.474715,-0.37932,20,1398970800.0,2014,5,1,21,Thursday,92,1,9.9,4.6,46.0,19.3,60.0,1002.0,0.0,6.0,5.25815217391304,5.258557198913371,4.63893016344725,4.65081723625557,6.0,198141
7,39.474715,-0.37932,20,1398974400.0,2014,5,1,22,Thursday,93,1,9.7,5.4,31.0,19.2,58.0,1002.0,0.0,3.0,5.25801582030071,5.25866232041531,4.64041604754829,4.658246656760769,7.0,198142
7,39.474715,-0.37932,20,1398978000.0,2014,5,1,23,Thursday,94,1,8.4,4.4,31.0,19.2,54.0,1002.0,0.0,4.0,5.25793986233547,5.258767429226781,4.64338781575037,4.66419019316493,7.0,198143
7,39.474715,-0.37932,20,1398981600.0,2014,5,2,0,Friday,95,0,6.3,2.8,43.0,19.1,52.0,1003.0,0.0,6.0,5.2579846646139,5.25893288266538,4.65081723625557,4.673105497771171,8.0,198144
7,39.474715,-0.37932,20,1398985200.0,2014,5,2,1,Friday,96,0,3.7,1.3,319.0,19.0,49.0,1002.0,0.0,7.0,5.25808983337358,5.25897760878749,4.658246656760769,4.68202080237741,6.0,198145
7,39.474715,-0.37932,20,1398988800.0,2014,5,2,2,Friday,97,0,3.1,1.0,321.0,18.6,50.0,1002.0,0.0,7.0,5.25819498943556,5.25884127942064,4.66419019316493,4.68647845468054,3.0,198146
7,39.474715,-0.37932,20,1398992400.0,2014,5,2,3,Friday,98,0,2.4,0.3,273.0,17.7,53.0,1002.0,0.0,8.0,5.25836049740432,5.25864462011949,4.673105497771171,4.687964338781581,2.0,198147
7,39.474715,-0.37932,20,1398996000.0,2014,5,2,4,Friday,99,0,2.3,0.6,288.0,17.3,54.0,1001.0,0.0,6.0,5.25840526347558,5.25832729905865,4.68202080237741,4.68647845468054,0.0,198148
7,39.474715,-0.37932,20,1398999600.0,2014,5,2,5,Friday,100,0,2.0,0.9,6.0,17.2,55.0,1001.0,0.0,3.0,5.25826895219701,5.25801001629156,4.68647845468054,4.6849925705795,0.0,198149
